age,t,mean_wage,mean_hours,med_wage,med_hours,mad_wage,mad_hours
24,1,15.524521,35.609985,10.489511,38.442307,4.5909886,10.71154
25,2,16.329212,37.554813,12.99445,40,5.5240688,9.6057682
26,3,17.184723,39.375858,14.685315,40,5.7920694,8.4230766
27,4,18.321938,40.632473,16.51918,40.76923,5.6013579,8.2211542
28,5,20.107695,41.155983,17.385178,40.76923,6.3026571,7.5384598
29,6,20.748379,42.154476,19.23077,40.96154,6.8376074,7.3557701
30,7,22.250559,43.569057,20.123869,42,7.6388893,7.1153851
31,8,27.209002,43.97649,21.335413,43.46154,7.5107403,7.2307701
32,9,25.365696,44.520935,24.038462,43.26923,9.2455626,7.375
33,10,28.360058,44.246593,25.714285,43.471153,10.32967,7.1250019
34,11,30.142769,44.888634,27.307692,43.384617,10.428156,7.0384598
35,12,32.548264,43.402145,29.450905,41.42308,11.24031,7.2307701
36,13,38.087212,43.191692,33.960987,41.25,13.224912,6.75
37,14,37.603642,43.543507,33.653847,41,12.5,6.9230766
38,15,51.916977,41.899578,41.22739,40,16.987759,7.4230766
39,16,54.222958,40.626537,41.763565,40,15.764758,5.7692299
